url,header,location,query,name,price_USD,cleaning_fee_EUR,service_fee_EUR,price_total_EUR,cnt_guests,cnt_bedrooms,cnt_beds,cnt_baths,listing_rating,listing_reviews,is_refundable,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check-in,rating_value,host_joined_years_ago,Identity_verified,house_rules_pets,house_rules_smoking,house_rules_parties,is_superhost,facility_Kitchen,facility_Wifi,facility_empty,facility_Free parking,facility_Dishwasher,facility_Hosted by a business,facility_Washer,specialty_Enhanced Clean,specialty_Kitchen,specialty_Clean and tidy,specialty_Pets allowed,specialty_Entire home,specialty_Experienced host,specialty_Pool,specialty_Self check-in,specialty_Outstanding hospitality,specialty_Highly rated host,specialty_Great communication,specialty_Great location,specialty_Free cancellation,specialty_Great check-in experience,specialty_Wifi,response_rate,response_time,lang_cnt,language_Čeština,language_Polski,language_Русский,language_Nederlands,language_Italiano,language_العربية,language_Ελληνικά,language_Deutsch,language_Norsk,language_English,language_Português,language_Español,language_Français,amenity_Not included__Unavailable: Air conditioning,amenity_Kitchen and dining__Kitchen,amenity_Not included__Unavailable: Carbon monoxide alarm,amenity_Heating and cooling__Heating,amenity_Entertainment__TV,amenity_Internet and office__Wifi,amenity_Bedroom and laundry__Hangers,amenity_Not included__Unavailable: Shampoo,amenity_Bedroom and laundry__Essentials,amenity_Parking and facilities__Free parking on premises,amenity_Kitchen and dining__Coffee maker,amenity_Location features__Private entrance,amenity_Bathroom__Hair dryer,amenity_Internet and office__Dedicated workspace,amenity_Home safety__Unavailable: Security cameras on property,amenity_Kitchen and dining__Oven,amenity_Not included__Unavailable: Smoke alarm,amenity_Kitchen and dining__Refrigerator,amenity_Kitchen and dining__Dishwasher,amenity_Kitchen and dining__Dishes and silverware,amenity_Not included__Unavailable: Washer,amenity_Bathroom__Hot water,amenity_Outdoor__Patio or balcony,amenity_Kitchen and dining__Cooking basics,amenity_Home safety__Fire extinguisher,amenity_Bedroom and laundry__Washer,amenity_Home safety__Smoke alarm,amenity_Services__Long term stays allowed,amenity_Kitchen and dining__Stove,amenity_Kitchen and dining__Microwave,amenity_Not included__Unavailable: Private entrance,amenity_Not included__Unavailable: Hair dryer,amenity_Bedroom and laundry__Bed linens,amenity_Parking and facilities__Free street parking,amenity_Bedroom and laundry__Dryer,amenity_Bedroom and laundry__Iron,amenity_Outdoor__Garden or backyard,amenity_Family__High chair,amenity_Entertainment__Cable TV,amenity_Family__Crib,amenity_Not included__Unavailable: Essentials,amenity_Services__Luggage dropoff allowed,amenity_Home safety__First aid kit,amenity_Bathroom__Bathtub,amenity_Bathroom__Shampoo,amenity_Heating and cooling__Indoor fireplace,amenity_Outdoor__BBQ grill,amenity_Family__Pack ’n Play/travel crib,amenity_Services__Lockbox,amenity_Bedroom and laundry__Extra pillows and blankets,amenity_Family__Children’s books and toys,amenity_Services__Host greets you,amenity_Bedroom and laundry__Room-darkening shades,amenity_Kitchen and dining__Baking sheet
/rooms/13582868?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Finkenberg,"Finkenberg, Tirol, Austria",Mayrhofen_AT,Apartment mit Herz,$225,empty,€191,"€1,321",7,4,4,2,4.7,29.0,0,4.9,4.8,5.0,4.4,4.9,4.4,5.0,1,no,no,no,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100,within a few hours,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
/rooms/13869257?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire house in Mayrhofen,"Mayrhofen, Tirol, Austria",Mayrhofen_AT,Chalet Tirolerland - ein Haus für Sie alleine!,$224,empty,€190,"€1,311",10,4,0,2.5,4.63,9.0,0,4.9,5.0,4.9,4.9,4.9,4.8,5.0,0,yes,no,no,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20,a few days or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1
/rooms/43838150?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Schwendau,"Schwendau, Tirol, Austria",Mayrhofen_AT,Haus Claudia,$234,empty,€199,"€1,371",6,3,3,2,4.67,3.0,0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,0,NA,no,no,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,100,within an hour,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/rooms/39881589?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Mayrhofen,"Mayrhofen, Austria",Mayrhofen_AT,Pleasant penthouse in Mayrhofen with Sauna,$256,empty,€0,"€1,501",6,2,3,1,,,0,,,,,,,2.0,1,no,no,NA,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,within an hour,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/rooms/48189013?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Aschau im Zillertal,"Aschau im Zillertal, Tirol, Austria",Mayrhofen_AT,4 star holiday home in Aschau,$95,empty,€0,€558,4,3,3,1,,,0,,,,,,,0.0,1,yes,no,NA,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,within an hour,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/rooms/44670337?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Mayrhofen,"Mayrhofen, Tirol, Austria",Mayrhofen_AT,Appartements Mair  Appartement Markus,$245,empty,€0,"€1,437",4,1,5,1,5.0,6.0,0,5.0,5.0,4.8,4.7,4.8,4.7,1.0,0,no,no,no,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,20,a few days or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
/rooms/13555575?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire house in Mayrhofen,"Mayrhofen, Tirol, Austria",Mayrhofen_AT,Chalet Tirolerland - ein Haus für Sie alleine!,$215,empty,€183,"€1,262",8,4,8,2,4.92,13.0,0,4.9,4.8,4.8,5.0,4.9,4.8,5.0,0,yes,no,no,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,20,a few days or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/rooms/48188938?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Schwaz,"Schwaz, Tirol, Austria",Mayrhofen_AT,4 star holiday home in Mayrhofen,$151,€95,empty,€885,7,3,5,2,,,0,,,,,,,0.0,1,yes,no,NA,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,within an hour,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
/rooms/13797602?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Gerlosberg,"Gerlosberg, Tirol, Austria",Mayrhofen_AT,"App.  in  dream location, Zillertal!",$169,empty,€0,€990,4,2,3,1,4.9,43.0,0,5.0,4.9,4.9,4.8,5.0,4.8,6.0,1,no,no,no,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,100,within an hour,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
/rooms/36508489?adults=4&check_in=2021-03-16&check_out=2021-03-23&previous_page_section_name=1000&federated_search_id=28d5ae87-f868-44ab-a0f5-79538d44a41d,Entire apartment in Aschau im Zillertal,"Aschau im Zillertal, Tirol, Austria",Mayrhofen_AT,Ferienwohnung Daniel Lechner in Aschau/Zillertal,$108,empty,€92,€634,4,1,2,1,5.0,26.0,0,5.0,4.9,5.0,4.9,5.0,4.8,2.0,0,no,no,no,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
